      price  quantity  type
0  38587000    0.0596     0
1  38586000    1.3430     0
2  38585000    0.0052     0
3  38582000    0.0972     0
4  38578000    0.0530     0
0  38598000    0.0738     1
1  38599000    0.0781     1
2  38601000    0.0833     1
3  38603000    0.2343     1
4  38604000    0.0624     1


      price  quantity  type
0  38587000    0.0596     0
1  38586000    1.3430     0
2  38585000    0.0928     0
3  38582000    0.0972     0
4  38581000    0.0645     0
0  38598000    0.0088     1
1  38599000    0.0781     1
2  38601000    0.0833     1
3  38603000    0.2285     1
4  38606000    0.0965     1


      price  quantity  type
0  38587000    0.1288     0
1  38586000    1.3430     0
2  38585000    0.0928     0
3  38582000    0.0972     0
4  38581000    0.0645     0
0  38598000    0.0088     1
1  38599000    0.0781     1
2  38601000    0.0833     1
3  38603000    0.2285     1
4  38606000    0.0965     1


      price  quantity  type
0  38587000    0.1207     0
1  38586000    1.3430     0
2  38585000    0.0928     0
3  38584000    0.0641     0
4  38582000    0.0972     0
0  38599000    0.0132     1
1  38601000    0.0833     1
2  38603000    0.2917     1
3  38606000    0.0965     1
4  38607000    0.0976     1


      price  quantity  type
0  38586000    1.2119     0
1  38585000    0.0928     0
2  38584000    0.0641     0
3  38582000    0.0972     0
4  38578000    0.0530     0
0  38599000    0.0132     1
1  38601000    0.0833     1
2  38603000    0.2917     1
3  38606000    0.0965     1
4  38607000    0.0976     1


      price  quantity  type
0  38598000    0.0026     0
1  38586000    1.2119     0
2  38585000    0.0928     0
3  38584000    0.1255     0
4  38582000    0.1534     0
0  38599000    0.0132     1
1  38601000    0.0833     1
2  38603000    0.2917     1
3  38606000    0.0965     1
4  38607000    0.0976     1


      price  quantity  type
0  38598000    0.0026     0
1  38586000    1.2119     0
2  38585000    0.0928     0
3  38584000    0.1255     0
4  38582000    0.1534     0
0  38599000    0.0132     1
1  38601000    0.0833     1
2  38603000    0.2917     1
3  38606000    0.0965     1
4  38607000    0.0976     1


      price  quantity  type
0  38598000    0.0026     0
1  38586000    1.2119     0
2  38585000    0.0928     0
3  38584000    0.1255     0
4  38582000    0.1534     0
0  38599000    0.0132     1
1  38601000    0.0833     1
2  38603000    0.2917     1
3  38606000    0.0965     1
4  38607000    0.0976     1


      price  quantity  type
0  38598000    0.0052     0
1  38588000    0.0838     0
2  38587000    0.0626     0
3  38586000    1.2119     0
4  38585000    0.0928     0
0  38603000    0.2285     1
1  38606000    0.0566     1
2  38607000    0.1601     1
3  38609000    0.0051     1
4  38611000    0.0490     1


      price  quantity  type
0  38598000    0.0052     0
1  38588000    0.0838     0
2  38587000    0.0626     0
3  38586000    1.2119     0
4  38585000    0.0928     0
0  38603000    0.2285     1
1  38606000    0.0566     1
2  38607000    0.1601     1
3  38609000    0.0051     1
4  38611000    0.0490     1


      price  quantity  type
0  38598000    0.0052     0
1  38588000    0.0838     0
2  38587000    0.1151     0
3  38586000    1.2119     0
4  38585000    0.0928     0
0  38603000    0.0849     1
1  38606000    0.0566     1
2  38607000    0.1517     1
3  38609000    0.0051     1
4  38611000    0.0899     1


      price  quantity  type
0  38598000    0.0052     0
1  38588000    0.0838     0
2  38587000    0.1151     0
3  38586000    1.2119     0
4  38585000    0.0928     0
0  38603000    0.0849     1
1  38606000    0.0566     1
2  38607000    0.1517     1
3  38609000    0.0051     1
4  38611000    0.0899     1


      price  quantity  type
0  38598000    0.0052     0
1  38588000    0.0838     0
2  38587000    0.1151     0
3  38586000    1.2119     0
4  38585000    0.0928     0
